dataset,threshold_percentile,threshold,train_windows_used_for_threshold,test_windows,test_normal_windows,test_attack_windows,accuracy,precision,recall,f1_score,roc_auc,pr_auc
HAI,99.5,0.014070019125938416,3415552,2345234,2335837,9397,0.9905152321687303,0.20832765744903056,0.48824092795573054,0.2920432845321451,0.9442262111293022,0.18634050845074335
SWAT,99.5,0.033685870468616486,1109672,1441710,1386774,54936,0.9829702228603533,0.8462327362231642,0.6758955875928353,0.7515331835569858,0.9482085531989003,0.7809279961678367
WUSTL_IIOT,99.5,8355.1181640625,620164,419242,332226,87016,0.7928523382676353,0.5343235648334003,0.015296037510342926,0.029740690672237925,0.9858216998385599,0.9056298300682941
